StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,DistributionChannel,UserLanguage,Q-Age,Q-Gender,Q-Race,Q-PartyAffiliation,Q-PartyAffiliation_4_TEXT,Q-PolarAffiliation,Q-MiddleAffiliation,Q-FeelingThermR_1,Q-FeelingThermD_1,Q-AffPolarization,Q-DemThreat,Q-ReElection,Q-InLawDist,Q-CloseFriendDist,Q-Social Distance 3,Q-AttentionCheck,Q-Manipulation Check,Treat_Party,Treat_Frame,InParty,OutParty,InPartyNoun,OutPartyNoun,GovParty,GovPartyNoun
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Distribution Channel,User Language,Please select your age range.,Please select your gender.,"Please select your race. (For the purposes of this survey, Hispanic origin is not a race.)","Generally speaking, do you usually think of yourself as a Democrat, a Republican, an independent, or what? - Selected Choice","Generally speaking, do you usually think of yourself as a Democrat, a Republican, an independent, or what? - Other Party (Please Specify) - Text",Would you call yourself a strong [QID1-ChoiceGroup-SelectedChoices] or a not very strong [QID1-ChoiceGroup-SelectedChoices]?,Do you think of yourself as closer to the Republican Party or to the Democratic Party?,How would you rate people who belong to the Republican Party? - Rating of people who belong to the Democratic party,How would you rate people who belong to the Democratic Party? - Rating of people who belong to the Democratic party,"How important is it to you that the government in your state follows established democratic rules and norms, even if that means your party loses an election?",State governors often need to make decisions that could hold consequences for democracy in their state. Which of the following political actions would you consider the greatest threat to democratic governance?,"If this governor ran for re-election, how likely would you be to vote for them?",How comfortable would you feel if you had a child who married a [Field-OutPartyNoun]?,How comfortable would you feel having a close personal friend who is a [Field-OutPartyNoun]?,How comfortable would you feel having a [Field-OutPartyNoun] move in next door to you?,"In the news article you just read, was the governor a Republican, a Democrat, or not specified?","Among these options, which one do you think most clearly describes why the state governor took the actions described in the news article?",Treat_Party,Treat_Frame,InParty,OutParty,InPartyNoun,OutPartyNoun,GovParty,GovPartyNoun
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11""}","{""ImportId"":""QID1""}","{""ImportId"":""QID1_4_TEXT""}","{""ImportId"":""QID4""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8_1""}","{""ImportId"":""QID16_1""}","{""ImportId"":""QID12""}","{""ImportId"":""QID13""}","{""ImportId"":""QID17""}","{""ImportId"":""QID18""}","{""ImportId"":""QID29""}","{""ImportId"":""QID31""}","{""ImportId"":""QID25""}","{""ImportId"":""QID28""}","{""ImportId"":""Treat_Party""}","{""ImportId"":""Treat_Frame""}","{""ImportId"":""InParty""}","{""ImportId"":""OutParty""}","{""ImportId"":""InPartyNoun""}","{""ImportId"":""OutPartyNoun""}","{""ImportId"":""GovParty""}","{""ImportId"":""GovPartyNoun""}"
4/28/26 8:01,4/28/26 8:01,Survey Test,100,0,TRUE,4/28/26 8:01,test,,75 - 84,Female,Asian,Democrat,,Not Very Strong,,36,63,Important,Manipulating geographic boundaries of election districts,Unlikely,Very uncomfortable,Somewhat uncomfortable,Somewhat uncomfortable,Democrat,The governor took this action to pursue a specific policy outcome.,OutParty,Electoral,Democratic,Republican,Democrat,Republican,Republican,Republican
4/28/26 8:01,4/28/26 8:01,Survey Test,100,1,TRUE,4/28/26 8:01,test,,65 - 74,Non-binary / third gender,Asian,Democrat,,Not Very Strong,,68,68,Low importance,Directing law enforcement to investigate politicians of the opposing party,Neither likely nor unlikely,Somewhat uncomfortable,Very uncomfortable,Somewhat uncomfortable,Republican,The governor took this action in an effort to reshape democratic norms and institutions,OutParty,Electoral,Democratic,Republican,Democrat,Republican,Republican,Republican
4/28/26 8:01,4/28/26 8:01,Survey Test,100,0,TRUE,4/28/26 8:01,test,,35 - 44,Female,White,Other Party (Please Specify),"Nonummy diam vitae fringilla quam id, viverra etiam? Interdum blandit turpis quis tempora.",,Neither,25,73,Slightly important,Banning political rallies,Somewhat unlikely,Very comfortable,Somewhat uncomfortable,Somewhat comfortable,Republican,The governor took this action in an effort to reshape democratic norms and institutions,InParty,Democracy,Democratic,Republican,Democrat,Republican,Democratic,
4/28/26 8:01,4/28/26 8:01,Survey Test,100,0,TRUE,4/28/26 8:01,test,,85 or older,Prefer not to say,Black or African American,Independent,,,Neither,37,69,Very important,Restructuring the state’s highest court in the incumbent’s favor,Somewhat likely,Very comfortable,Uncomfortable,Somewhat uncomfortable,Democrat,The governor took this action to pursue a specific policy outcome.,OutParty,Electoral,Democratic,Republican,Democrat,Republican,Republican,Republican
4/28/26 8:01,4/28/26 8:01,Survey Test,100,0,TRUE,4/28/26 8:01,test,,45 - 54,Prefer not to say,White,Republican,,Strong,,88,9,Extremely important,Directing law enforcement to investigate politicians of the opposing party,Very likely,Somewhat comfortable,Very uncomfortable,Very uncomfortable,Republican,The governor took this action to pursue a specific policy outcome.,Control,Electoral,Republican,Democratic,Republican,Democrat,,
4/28/26 8:01,4/28/26 8:01,Survey Test,100,0,TRUE,4/28/26 8:01,test,,18 - 24,Non-binary / third gender,Black or African American,Other Party (Please Specify),Lorem vestibulum facilisi donec ultrices tortor ullamcorper integer. Imperdiet porttitor. Curabitur.,,Closer to Democratic Party,10,98,Not at all important,Directing law enforcement to investigate politicians of the opposing party,Very unlikely,Comfortable,Uncomfortable,Neither comfortable nor uncomfortable,Republican,The governor took this action to pursue a specific policy outcome.,InParty,Electoral,Democratic,Republican,Democrat,Republican,Democratic,
4/28/26 8:01,4/28/26 8:01,Survey Test,100,0,TRUE,4/28/26 8:01,test,,85 or older,Female,American Indian or Alaska Native,Other Party (Please Specify),Purus purus eu sit donec vehicula. Tempor. Molestie praesent integer pretium platea posuere.,,Neither,59,32,Extremely important,Directing law enforcement to investigate politicians of the opposing party,Unlikely,Somewhat comfortable,Somewhat comfortable,Somewhat uncomfortable,Republican,The governor took this action to pursue a specific policy outcome.,InParty,Democracy,Republican,Democratic,Republican,Democrat,Republican,
4/28/26 8:01,4/28/26 8:01,Survey Test,100,0,TRUE,4/28/26 8:01,test,,85 or older,Prefer not to say,Asian,Other Party (Please Specify),"Diam! Non faucibus pede dignissim. Magnis. Justo! Ante, phasellus purus placerat augue enim eros. Faucibus.",,Closer to Republican Party,27,15,Slightly important,Restructuring the state’s highest court in the incumbent’s favor,Unlikely,Very uncomfortable,Somewhat comfortable,Very comfortable,Republican,The governor took this action to gain an electoral advantage or to respond to similar actions taken by the other party in the past,InParty,Electoral,Republican,Democratic,Republican,Democrat,Republican,
4/28/26 8:01,4/28/26 8:01,Survey Test,100,1,TRUE,4/28/26 8:01,test,,45 - 54,Non-binary / third gender,American Indian or Alaska Native,No Preference,,,Neither,36,45,Slightly important,Manipulating geographic boundaries of election districts,Somewhat unlikely,Somewhat uncomfortable,Somewhat uncomfortable,Uncomfortable,Democrat,The governor took this action to pursue a specific policy outcome.,InParty,Electoral,Republican,Democratic,Republican,Democrat,Republican,
4/28/26 8:01,4/28/26 8:01,Survey Test,100,0,TRUE,4/28/26 8:01,test,,55 - 64,Prefer not to say,White,No Preference,,,Closer to Democratic Party,18,65,Extremely important,Prosecuting journalists for unfair news coverage,Likely,Somewhat comfortable,Neither comfortable nor uncomfortable,Uncomfortable,Not Specified,The governor took this action to gain an electoral advantage or to respond to similar actions taken by the other party in the past,InParty,Policy,Democratic,Republican,Democrat,Republican,Democratic,
4/28/26 8:01,4/28/26 8:01,Survey Test,100,0,TRUE,4/28/26 8:01,test,,55 - 64,Female,Black or African American,Other Party (Please Specify),Porta molestie pellentesque volutpat volutpat aliquam suspendisse facilisis tempor accusamus euismod elementum.,,Closer to Republican Party,43,43,Very important,Prosecuting journalists for unfair news coverage,Neither likely nor unlikely,Somewhat uncomfortable,Very uncomfortable,Very comfortable,Not Specified,The governor took this action to pursue a specific policy outcome.,OutParty,Democracy,Republican,Democratic,Republican,Democrat,Democratic,Democrat
4/28/26 8:01,4/28/26 8:01,Survey Test,100,0,TRUE,4/28/26 8:01,test,,85 or older,Male,American Indian or Alaska Native,Independent,,,Closer to Republican Party,90,86,Moderately important,Banning political rallies,Very likely,Somewhat uncomfortable,Somewhat comfortable,Somewhat uncomfortable,Not Specified,The governor took this action in an effort to reshape democratic norms and institutions,InParty,Policy,Republican,Democratic,Republican,Democrat,Republican,
4/28/26 8:01,4/28/26 8:01,Survey Test,100,1,TRUE,4/28/26 8:01,test,,18 - 24,Male,Black or African American,Other Party (Please Specify),Vel molestie! Donec commodo magna curabitur proin auctor aliquet primis malesuada viverra.,,Neither,11,93,Important,Banning political rallies,Likely,Somewhat uncomfortable,Comfortable,Somewhat uncomfortable,Democrat,The governor took this action to gain an electoral advantage or to respond to similar actions taken by the other party in the past,OutParty,Electoral,Democratic,Republican,Democrat,Republican,Republican,Republican
4/28/26 8:01,4/28/26 8:01,Survey Test,100,0,TRUE,4/28/26 8:01,test,,25 - 34,Male,Other,Republican,,Not Very Strong,,59,8,Important,Directing law enforcement to investigate politicians of the opposing party,Likely,Somewhat comfortable,Very uncomfortable,Neither comfortable nor uncomfortable,Democrat,The governor took this action to pursue a specific policy outcome.,OutParty,Policy,Republican,Democratic,Republican,Democrat,Democratic,Democrat
4/28/26 8:01,4/28/26 8:01,Survey Test,100,0,TRUE,4/28/26 8:01,test,,25 - 34,Prefer not to say,White,Independent,,,Closer to Democratic Party,97,78,Slightly important,Prosecuting journalists for unfair news coverage,Somewhat likely,Very comfortable,Somewhat comfortable,Uncomfortable,Not Specified,The governor took this action to pursue a specific policy outcome.,OutParty,Policy,Democratic,Republican,Democrat,Republican,Republican,Republican
4/28/26 8:01,4/28/26 8:01,Survey Test,100,0,TRUE,4/28/26 8:01,test,,65 - 74,Non-binary / third gender,White,No Preference,,,Neither,45,52,Very important,Prosecuting journalists for unfair news coverage,Very unlikely,Neither comfortable nor uncomfortable,Very Comfortable,Somewhat uncomfortable,Democrat,The governor took this action to pursue a specific policy outcome.,Control,Democracy,Republican,Democratic,Republican,Democrat,,
4/28/26 8:01,4/28/26 8:01,Survey Test,100,0,TRUE,4/28/26 8:01,test,,18 - 24,Non-binary / third gender,Asian,Republican,,Strong,,21,56,Important,Restructuring the state’s highest court in the incumbent’s favor,Somewhat unlikely,Neither comfortable nor uncomfortable,Comfortable,Comfortable,Not Specified,The governor took this action to gain an electoral advantage or to respond to similar actions taken by the other party in the past,InParty,Policy,Republican,Democratic,Republican,Democrat,Republican,
4/28/26 8:01,4/28/26 8:01,Survey Test,100,0,TRUE,4/28/26 8:01,test,,35 - 44,Male,Asian,No Preference,,,Closer to Democratic Party,52,18,Slightly important,Directing law enforcement to investigate politicians of the opposing party,Somewhat likely,Very comfortable,Comfortable,Very uncomfortable,Democrat,The governor took this action to gain an electoral advantage or to respond to similar actions taken by the other party in the past,Control,Democracy,Democratic,Republican,Democrat,Republican,,
4/28/26 8:01,4/28/26 8:01,Survey Test,100,0,TRUE,4/28/26 8:01,test,,18 - 24,Female,White,Other Party (Please Specify),Dignissim amet ridiculus porttitor ipsum mi convallis. Elementum luctus. Et.,,Closer to Democratic Party,65,21,Slightly important,Directing law enforcement to investigate politicians of the opposing party,Very unlikely,Comfortable,Somewhat comfortable,Comfortable,Democrat,The governor took this action to gain an electoral advantage or to respond to similar actions taken by the other party in the past,Control,Policy,Democratic,Republican,Democrat,Republican,,
4/28/26 8:01,4/28/26 8:01,Survey Test,100,1,TRUE,4/28/26 8:01,test,,35 - 44,Female,American Indian or Alaska Native,Democrat,,Not Very Strong,,43,95,Slightly important,Prosecuting journalists for unfair news coverage,Somewhat likely,Neither comfortable nor uncomfortable,Somewhat comfortable,Very comfortable,Democrat,The governor took this action to gain an electoral advantage or to respond to similar actions taken by the other party in the past,OutParty,Policy,Democratic,Republican,Democrat,Republican,Republican,Republican
4/28/26 8:01,4/28/26 8:01,Survey Test,100,0,TRUE,4/28/26 8:01,test,,55 - 64,Male,American Indian or Alaska Native,Other Party (Please Specify),"Felis? Tortor luctus suspendisse magna sem ultrices. Augue, viverra donec ridiculus sagittis. Sit atque morbi.",,Closer to Republican Party,22,15,Extremely important,Prosecuting journalists for unfair news coverage,Unlikely,Comfortable,Comfortable,Comfortable,Not Specified,The governor took this action to gain an electoral advantage or to respond to similar actions taken by the other party in the past,OutParty,Democracy,Republican,Democratic,Republican,Democrat,Democratic,Democrat
4/28/26 8:01,4/28/26 8:01,Survey Test,100,0,TRUE,4/28/26 8:01,test,,65 - 74,Prefer not to say,Native Hawaiian or Pacific Islander,Independent,,,Closer to Republican Party,95,34,Slightly important,Prosecuting journalists for unfair news coverage,Very unlikely,Somewhat uncomfortable,Comfortable,Somewhat comfortable,Not Specified,The governor took this action to pursue a specific policy outcome.,Control,Democracy,Republican,Democratic,Republican,Democrat,,
4/28/26 8:01,4/28/26 8:01,Survey Test,100,1,TRUE,4/28/26 8:01,test,,25 - 34,Male,Other,Democrat,,Strong,,32,35,Slightly important,Prosecuting journalists for unfair news coverage,Somewhat likely,Very uncomfortable,Uncomfortable,Somewhat comfortable,Republican,The governor took this action in an effort to reshape democratic norms and institutions,OutParty,Electoral,Democratic,Republican,Democrat,Republican,Republican,Republican
4/28/26 8:01,4/28/26 8:01,Survey Test,100,0,TRUE,4/28/26 8:01,test,,55 - 64,Male,White,Other Party (Please Specify),"Felis pede sit wisi nibh dui proin potenti, lorem mattis purus platea aliquet.",,Closer to Democratic Party,60,3,Slightly important,Manipulating geographic boundaries of election districts,Neither likely nor unlikely,Comfortable,Neither comfortable nor uncomfortable,Somewhat uncomfortable,Not Specified,The governor took this action to pursue a specific policy outcome.,InParty,Electoral,Democratic,Republican,Democrat,Republican,Democratic,
4/28/26 8:01,4/28/26 8:01,Survey Test,100,0,TRUE,4/28/26 8:01,test,,18 - 24,Prefer not to say,White,Republican,,Not Very Strong,,89,67,Extremely important,Restructuring the state’s highest court in the incumbent’s favor,Somewhat unlikely,Very uncomfortable,Very uncomfortable,Somewhat uncomfortable,Not Specified,The governor took this action to pursue a specific policy outcome.,Control,Policy,Republican,Democratic,Republican,Democrat,,
4/28/26 8:01,4/28/26 8:01,Survey Test,100,0,TRUE,4/28/26 8:01,test,,85 or older,Non-binary / third gender,Other,No Preference,,,Closer to Democratic Party,7,100,Very important,Directing law enforcement to investigate politicians of the opposing party,Very unlikely,Somewhat comfortable,Very uncomfortable,Uncomfortable,Not Specified,The governor took this action to pursue a specific policy outcome.,OutParty,Policy,Democratic,Republican,Democrat,Republican,Republican,Republican
4/28/26 8:01,4/28/26 8:01,Survey Test,100,0,TRUE,4/28/26 8:01,test,,55 - 64,Prefer not to say,American Indian or Alaska Native,Independent,,,Closer to Republican Party,58,10,Low importance,Banning political rallies,Very unlikely,Neither comfortable nor uncomfortable,Somewhat uncomfortable,Somewhat uncomfortable,Republican,The governor took this action to gain an electoral advantage or to respond to similar actions taken by the other party in the past,InParty,Policy,Republican,Democratic,Republican,Democrat,Republican,
4/28/26 8:01,4/28/26 8:01,Survey Test,100,0,TRUE,4/28/26 8:01,test,,45 - 54,Non-binary / third gender,Native Hawaiian or Pacific Islander,Other Party (Please Specify),"Mi aliquam, pretium? Enim ultricies! Pede laoreet sed vitae ultricies quam morbi. Vel fringilla aliquet.",,Closer to Republican Party,20,88,Not at all important,Directing law enforcement to investigate politicians of the opposing party,Likely,Comfortable,Somewhat uncomfortable,Uncomfortable,Not Specified,The governor took this action in an effort to reshape democratic norms and institutions,OutParty,Policy,Republican,Democratic,Republican,Democrat,Democratic,Democrat
