Introduction/Consent,Q-PartyAffiliation,Q-PartyAffiliation_4_TEXT,Q-PolarAffiliation,Q-MiddleAffiliation,Q-DemThreat,Q-FeelingTherm_1,Q-FeelingTherm_2,Q-AffPolarization,Event1_Prob_Pre_1,Event2_Prob_Pre_1,Event3_Prob_Pre_1,Event4_Prob_Pre_1,Attention Check_1,Prior_awareness,Prior_participation,redistrict_c_time _First Click,redistrict_c_time _Last Click,redistrict_c_time _Page Submit,redistrict_c_time _Click Count,redistrict_t_time_First Click,redistrict_t_time_Last Click,redistrict_t_time_Page Submit,redistrict_t_time_Click Count,rallies_c_time_First Click,rallies_c_time_Last Click,rallies_c_time_Page Submit,rallies_c_time_Click Count,rallies_t_time_First Click,rallies_t_time_Last Click,rallies_t_time_Page Submit,rallies_t_time_Click Count,investigate_t_time_First Click,investigate_t_time_Last Click,investigate_t_time_Page Submit,investigate_t_time_Click Count,media_c_time_First Click,media_c_time_Last Click,media_c_time_Page Submit,media_c_time_Click Count,media_t_time_First Click,media_t_time_Last Click,media_t_time_Page Submit,media_t_time_Click Count,courts_c_time_First Click,courts_c_time_Last Click,courts_c_time_Page Submit,courts_c_time_Click Count,courts_t_time_First Click,courts_t_time_Last Click,courts_t_time_Page Submit,courts_t_time_Click Count,Q-InLawDist,Q-CloseFriendDist,Q-Social Distance 3,Q-ReElection,Q-AttentionCheck,Q-Manipulation Check,Event1_Prob_Post_1...59,Event2_Prob_Post_1...60,Event3_Prob_Post_1...61,Event4_Prob_Post_1...62,Event1_Prob_Post_1...63,Event2_Prob_Post_1...64,Event3_Prob_Post_1...65,Event4_Prob_Post_1...66,Event1_Prob_Post_1...67,Event2_Prob_Post_1...68,Event3_Prob_Post_1...69,Event4_Prob_Post_1...70,ParticipantId,assignmentId,projectId,Market_Price_m_kxcpi-26apr,Market_Price_m_kxpayrolls-26apr,Market_Price_m_controls-2026,Market_Price_m_kxiceero-26mar,Market_Price_m_kxpayrolls-26may,order_first,Treat_Party,Treat_Frame,InParty,OutParty,InPartyNoun,OutPartyNoun,GovParty,GovPartyNoun,frame_topic,Treatment,StartTime (America/Denver),CompletionTime (America/Denver),CompletionType,CompletionCode,Payment,Bonus,Fees,Status,QueryString,Age,Education,Sex,Occupation Field,Relationship/Marital Status,Political Party,Ethnicity,Gender,Country Of Residence,Household Income,Race,Employment Status
"Yes, I consent to participate.",Democrat,NA,Not very strong,NA,Restructuring the state’s highest court to favor the party in power,0,50,Somewhat important,70,30,80,30,64,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.734,1.802,25.747,2,Uncomfortable,Uncomfortable,Somewhat uncomfortable,Unlikely,Republican,The governor took action to gain an electoral advantage or to respond to similar actions taken by the other party in the past.,70,30,75,45,NA,NA,NA,NA,NA,NA,NA,NA,B1D35171EB9140CCAA5A6097771C9EB8,019dfa4d-09de-7ab3-80a7-bb2291984ae3,019de1ab-afed-72b0-99bf-23a6aa89592d,0.545,0.475,0.565,0.895,NA,OW,OutParty,Policy,Democratic,Republican,Democrat,Republican,Republican,Republican,courts,0,05/05/2026 04:40:46 PM,05/05/2026 04:44:12 PM,Redirect,929B340BD7,1.5,0,0.38,Approved,NA,23,"Associate degree (for example: AA, AS)",Female,Information Technology,In a relationship,Democrat,"No, not of Hispanic, Latino, or Spanish origin",Woman,United States,"$175,000-$199,999",Vietnamese,Part-time
"Yes, I consent to participate.",Democrat,NA,Strong,NA,Restructuring the state’s highest court to favor the party in power,2,100,Very important,10,49,49,59,64,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,12.7,0,Very uncomfortable,Very uncomfortable,Comfortable,Very unlikely,Democrat,The governor took action to gain an electoral advantage or to respond to similar actions taken by the other party in the past.,NA,NA,NA,NA,NA,NA,NA,NA,21,55,43,71,8B045A74597B47FCB5FFAE595C7422DB,019dfa4e-79b2-711d-9ac3-21f81f12b059,019de1ab-afed-72b0-99bf-23a6aa89592d,0.545,0.475,0.565,0.895,NA,Mehlhaff,InParty,Electoral,Democratic,Republican,Democrat,Republican,Democratic,Democrat,courts,2,05/05/2026 04:42:20 PM,05/05/2026 04:45:36 PM,Redirect,929B340BD7,1.5,0,0.38,Approved,NA,74,"Bachelor's degree (for example: BA, AB, BS)",Female,Education & Training,Divorced,Democrat,"No, not of Hispanic, Latino, or Spanish origin",Woman,United States,"$40,000-$49,999",White,Part-time
"Yes, I consent to participate.",Other party (please specify),PSL,NA,Neither,Prosecuting journalists for unfair news coverage,5,40,Very important,71,3,21,50,64,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,12.886,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Very comfortable,Very Comfortable,Very comfortable,Very unlikely,Not specified,The governor took action in an effort to reshape democratic norms and institutions.,NA,NA,NA,NA,NA,NA,NA,NA,70,11,28,50,17319EE0DA384ABBACADFB3BA043ABA2,019dfa4d-6b84-7918-820e-ebb2ae626634,019de1ab-afed-72b0-99bf-23a6aa89592d,0.545,0.475,0.565,0.895,NA,OW,Control,Control,Democratic,Republican,Democrat,Republican,NA,NA,media,3,05/05/2026 04:41:11 PM,05/05/2026 04:45:43 PM,Redirect,929B340BD7,1.5,0,0.38,Approved,NA,40,High school graduate - high school diploma or the equivalent (for example: GED),Male,Information Technology,Single,Independent,"Yes, Puerto Rican",Man,United States,"$10,000-$19,999",White,Part-time
"Yes, I consent to participate.",Democrat,NA,Strong,NA,Restructuring the state’s highest court to favor the party in power,20,95,Very important,50,40,50,30,64,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,13.681,0,Neither comfortable nor uncomfortable,Neither comfortable nor uncomfortable,Neither comfortable nor uncomfortable,Neither likely nor unlikely,Democrat,The governor took action to gain an electoral advantage or to respond to similar actions taken by the other party in the past.,NA,NA,NA,NA,NA,NA,NA,NA,50,35,50,35,77D8BBD980704B8C82494AC3B8ECAF50,019dfa4d-307c-7f39-9a0d-489e20cfb3d7,019de1ab-afed-72b0-99bf-23a6aa89592d,0.545,0.475,0.565,0.895,NA,OW,InParty,Electoral,Democratic,Republican,Democrat,Republican,Democratic,Democrat,courts,2,05/05/2026 04:40:55 PM,05/05/2026 04:46:18 PM,Redirect,929B340BD7,1.5,0,0.38,Approved,NA,40,"Some college, but no degree",Female,NA,I’d Rather Not Say,Democrat,"Yes, Mexican, Mexican Am., Chicano",Woman,United States,"$10,000-$19,999",White,Unemployed
"Yes, I consent to participate.",Republican,NA,Strong,NA,Restructuring the state’s highest court to favor the party in power,98,3,Somewhat important,58,12,95,20,64,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.77,4.798,5.435,5,NA,NA,NA,NA,Very uncomfortable,Very uncomfortable,Very uncomfortable,Neither likely nor unlikely,Not specified,The governor took action in an effort to reshape democratic norms and institutions.,39,2,99,29,NA,NA,NA,NA,NA,NA,NA,NA,87BAD4F8C1E04124B7B34948449D58EA,019dfa4d-12c3-7b4e-9814-5118bbc0be4c,019de1ab-afed-72b0-99bf-23a6aa89592d,0.545,0.475,0.565,0.895,NA,Mehlhaff,Control,Control,Republican,Democratic,Republican,Democrat,NA,NA,courts,0,05/05/2026 04:40:48 PM,05/05/2026 04:46:21 PM,Redirect,929B340BD7,1.5,0,0.38,Approved,NA,31,"Bachelor's degree (for example: BA, AB, BS)",Male,Business Management & Administration,Married,Republican,"No, not of Hispanic, Latino, or Spanish origin",Man,United States,"$80,000-$89,999",Black or African American,Full-time
"Yes, I consent to participate.",Democrat,NA,Not very strong,NA,Manipulating geographic boundaries of election districts,20,66,Neither important nor unimportant,52,38,19,78,64,Yes,No,6.206,19.03,19.838,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Uncomfortable,Somewhat uncomfortable,Somewhat uncomfortable,Likely,Not specified,The governor took action to pursue a specific policy outcome.,NA,NA,NA,NA,54,44,38,87,NA,NA,NA,NA,480FD71754F64F02888991DB1A7ABB5D,019dfa4f-1f42-77e1-a96c-32407a0bffcb,019de1ab-afed-72b0-99bf-23a6aa89592d,0.545,0.475,0.565,0.895,NA,OW,Control,Control,Democratic,Republican,Democrat,Republican,NA,NA,redistrict,1,05/05/2026 04:43:02 PM,05/05/2026 04:46:36 PM,Redirect,929B340BD7,1.5,0,0.38,Approved,NA,25,"Bachelor's degree (for example: BA, AB, BS)",Male,Medicine,In a relationship,Democrat,"No, not of Hispanic, Latino, or Spanish origin",Man,United States,"$225,000-$249,999",Asian Indian,Student
"Yes, I consent to participate.",Democrat,NA,Strong,NA,Manipulating geographic boundaries of election districts,9,91,Very important,60,72,76,20,64,No,No,0,0,12.936,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Uncomfortable,Somewhat uncomfortable,Somewhat uncomfortable,Neither likely nor unlikely,Not specified,The governor took action to gain an electoral advantage or to respond to similar actions taken by the other party in the past.,NA,NA,NA,NA,NA,NA,NA,NA,58,50,58,40,B0816C11EF7D49E887F8D5A820C01CAA,019dfa4e-7e35-7a5c-8e04-449cb4967acf,019de1ab-afed-72b0-99bf-23a6aa89592d,0.545,0.475,0.565,0.895,NA,Mehlhaff,Control,Control,Democratic,Republican,Democrat,Republican,NA,NA,redistrict,2,05/05/2026 04:42:21 PM,05/05/2026 04:47:06 PM,Redirect,929B340BD7,1.5,0,0.38,Approved,NA,41,"Some college, but no degree",Female,Education & Training,Married,Democrat,"Yes, Mexican, Mexican Am., Chicano",Woman,United States,"$100,000-$124,999",White,Full-time
"Yes, I consent to participate.",Independent,NA,NA,Closer to Republican Party,Restructuring the state’s highest court to favor the party in power,65,35,Very important,55,30,60,20,64,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.765,15.621,48.668,4,Neither comfortable nor uncomfortable,Comfortable,Somewhat comfortable,Very unlikely,Democrat,The governor took action in an effort to reshape democratic norms and institutions.,55,20,60,20,NA,NA,NA,NA,NA,NA,NA,NA,A0AF40BE5A6445B58B94C637229FFFB8,019dfa4d-e9ec-7515-9f41-3feec18dc6a5,019de1ab-afed-72b0-99bf-23a6aa89592d,0.545,0.475,0.565,0.895,NA,Mehlhaff,OutParty,Electoral,Republican,Democratic,Republican,Democrat,Democratic,Democrat,courts,0,05/05/2026 04:41:43 PM,05/05/2026 04:47:25 PM,Redirect,929B340BD7,1.5,0,0.38,Approved,NA,63,"Some college, but no degree",Male,"Transportation, Distribution & Logistics",Married,Independent,"Yes, Mexican, Mexican Am., Chicano",Man,United States,"$125,000-$149,999",An ethnicity not listed here,Full-time
"Yes, I consent to participate.",Democrat,NA,Strong,NA,Restructuring the state’s highest court to favor the party in power,10,85,Somewhat important,50,0,40,70,64,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,46.531,0,Somewhat comfortable,Somewhat comfortable,Somewhat comfortable,Somewhat likely,Democrat,The governor took action to gain an electoral advantage or to respond to similar actions taken by the other party in the past.,NA,NA,NA,NA,50,20,40,80,NA,NA,NA,NA,34510AA831E54C388836AC5F0F5C78EF,019dfa4e-8d9b-7b39-83f1-9e16112ba946,019de1ab-afed-72b0-99bf-23a6aa89592d,0.545,0.475,0.565,0.895,NA,OW,InParty,Democracy,Democratic,Republican,Democrat,Republican,Democratic,Democrat,courts,1,05/05/2026 04:42:25 PM,05/05/2026 04:47:33 PM,Redirect,929B340BD7,1.5,0,0.38,Approved,NA,24,"Associate degree (for example: AA, AS)",Female,Education & Training,Single,Democrat,"No, not of Hispanic, Latino, or Spanish origin",Woman,United States,"$70,000-$79,999",Black or African American,Part-time
"Yes, I consent to participate.",Independent,NA,NA,Closer to Republican Party,Restructuring the state’s highest court to favor the party in power,50,20,Very important,67,50,75,45,64,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.623,25.697,30.03,17,Somewhat comfortable,Somewhat comfortable,Comfortable,Unlikely,Republican,The governor took action to gain an electoral advantage or to respond to similar actions taken by the other party in the past.,75,51,73,42,NA,NA,NA,NA,NA,NA,NA,NA,3EAF9C5B145C41ADBB9050B7883CF564,019dfa4e-9c3a-7309-878b-d45a64a25542,019de1ab-afed-72b0-99bf-23a6aa89592d,0.545,0.475,0.565,0.895,NA,Mehlhaff,InParty,Electoral,Republican,Democratic,Republican,Democrat,Republican,Republican,courts,0,05/05/2026 04:42:29 PM,05/05/2026 04:47:29 PM,Redirect,929B340BD7,1.5,0,0.38,Approved,NA,39,"Bachelor's degree (for example: BA, AB, BS)",Male,Manufacturing,Single,Independent,"No, not of Hispanic, Latino, or Spanish origin",Man,United States,"$60,000-$69,999",Vietnamese,Full-time
