Age,Education,Sex,Occupation Field,Relationship/Marital Status,Political Party,Ethnicity,Gender,Country Of Residence,Household Income,Race,Employment Status,Q-PartyAffiliation,Q-PartyAffiliation_4_TEXT,Q-PolarAffiliation,Q-MiddleAffiliation,Q-DemThreat,Q-FeelingTherm_1,Q-FeelingTherm_2,Q-AffPolarization,Event1_Prob_Pre_1,Event2_Prob_Pre_1,Event3_Prob_Pre_1,Event4_Prob_Pre_1,Attention Check_1,Prior_awareness,Prior_participation,redistrict_c_time _First Click,redistrict_c_time _Last Click,redistrict_c_time _Page Submit,redistrict_c_time _Click Count,redistrict_t_time_First Click,redistrict_t_time_Last Click,redistrict_t_time_Page Submit,redistrict_t_time_Click Count,rallies_c_time_First Click,rallies_c_time_Last Click,rallies_c_time_Page Submit,rallies_c_time_Click Count,rallies_t_time_First Click,rallies_t_time_Last Click,rallies_t_time_Page Submit,rallies_t_time_Click Count,investigate_t_time_First Click,investigate_t_time_Last Click,investigate_t_time_Page Submit,investigate_t_time_Click Count,media_c_time_First Click,media_c_time_Last Click,media_c_time_Page Submit,media_c_time_Click Count,media_t_time_First Click,media_t_time_Last Click,media_t_time_Page Submit,media_t_time_Click Count,courts_c_time_First Click,courts_c_time_Last Click,courts_c_time_Page Submit,courts_c_time_Click Count,courts_t_time_First Click,courts_t_time_Last Click,courts_t_time_Page Submit,courts_t_time_Click Count,Q-InLawDist,Q-CloseFriendDist,Q-Social Distance 3,Q-ReElection,Q-AttentionCheck,Q-Manipulation Check,Event1_Prob_Post_1...76,Event2_Prob_Post_1...77,Event3_Prob_Post_1...78,Event4_Prob_Post_1...79,Event1_Prob_Post_1...80,Event2_Prob_Post_1...81,Event3_Prob_Post_1...82,Event4_Prob_Post_1...83,Event1_Prob_Post_1...84,Event2_Prob_Post_1...85,Event3_Prob_Post_1...86,Event4_Prob_Post_1...87,assignmentId,projectId,Market_Price_m_kxcpi-26apr,Market_Price_m_kxpayrolls-26apr,Market_Price_m_controls-2026,Market_Price_m_kxiceero-26mar,order_first,Treat_Party,Treat_Frame,InParty,OutParty,InPartyNoun,OutPartyNoun,GovParty,GovPartyNoun,frame_topic,Treatment
23,"Associate degree (for example: AA, AS)",Female,Information Technology,In a relationship,Democrat,"No, not of Hispanic, Latino, or Spanish origin",Woman,United States,"$175,000-$199,999",Vietnamese,Part-time,Democrat,NA,Not very strong,NA,Restructuring the state’s highest court to favor the party in power,0,50,Somewhat important,70,30,80,30,64,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.734,1.802,25.747,2,Uncomfortable,Uncomfortable,Somewhat uncomfortable,Unlikely,Republican,The governor took action to gain an electoral advantage or to respond to similar actions taken by the other party in the past.,70,30,75,45,NA,NA,NA,NA,NA,NA,NA,NA,019dfa4d-09de-7ab3-80a7-bb2291984ae3,019de1ab-afed-72b0-99bf-23a6aa89592d,0.545,0.475,0.565,0.895,OW,OutParty,Policy,Democratic,Republican,Democrat,Republican,Republican,Republican,courts,0
31,"Bachelor's degree (for example: BA, AB, BS)",Male,Business Management & Administration,Married,Republican,"No, not of Hispanic, Latino, or Spanish origin",Man,United States,"$80,000-$89,999",Black or African American,Full-time,Republican,NA,Strong,NA,Restructuring the state’s highest court to favor the party in power,98,3,Somewhat important,58,12,95,20,64,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.77,4.798,5.435,5,NA,NA,NA,NA,Very uncomfortable,Very uncomfortable,Very uncomfortable,Neither likely nor unlikely,Not specified,The governor took action in an effort to reshape democratic norms and institutions.,39,2,99,29,NA,NA,NA,NA,NA,NA,NA,NA,019dfa4d-12c3-7b4e-9814-5118bbc0be4c,019de1ab-afed-72b0-99bf-23a6aa89592d,0.545,0.475,0.565,0.895,Mehlhaff,Control,Control,Republican,Democratic,Republican,Democrat,NA,NA,courts,0
53,"Some college, but no degree",Female,Business Management & Administration,Married,Independent,"No, not of Hispanic, Latino, or Spanish origin",Woman,United States,"$60,000-$69,999",An ethnicity not listed here,Business Owner,Independent,NA,NA,Neither,Manipulating geographic boundaries of election districts,50,50,Neither important nor unimportant,80,0,50,50,64,No,No,NA,NA,NA,NA,0,0,34.355,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Neither comfortable nor uncomfortable,Neither comfortable nor uncomfortable,Neither comfortable nor uncomfortable,Neither likely nor unlikely,Not specified,The governor took action to pursue a specific policy outcome.,NA,NA,NA,NA,NA,NA,NA,NA,50,0,50,70,019dfa4d-2d28-7e9b-b1eb-f1c91c72f6c4,019de1ab-afed-72b0-99bf-23a6aa89592d,0.545,0.475,0.565,0.895,Mehlhaff,InParty,Democracy,Democratic,Republican,Democrat,Republican,Democratic,Democrat,redistrict,3
40,"Some college, but no degree",Female,NA,I’d Rather Not Say,Democrat,"Yes, Mexican, Mexican Am., Chicano",Woman,United States,"$10,000-$19,999",White,Unemployed,Democrat,NA,Strong,NA,Restructuring the state’s highest court to favor the party in power,20,95,Very important,50,40,50,30,64,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,13.681,0,Neither comfortable nor uncomfortable,Neither comfortable nor uncomfortable,Neither comfortable nor uncomfortable,Neither likely nor unlikely,Democrat,The governor took action to gain an electoral advantage or to respond to similar actions taken by the other party in the past.,NA,NA,NA,NA,NA,NA,NA,NA,50,35,50,35,019dfa4d-307c-7f39-9a0d-489e20cfb3d7,019de1ab-afed-72b0-99bf-23a6aa89592d,0.545,0.475,0.565,0.895,OW,InParty,Electoral,Democratic,Republican,Democrat,Republican,Democratic,Democrat,courts,2
29,"Some college, but no degree",Male,Arts,Single,Democrat,"No, not of Hispanic, Latino, or Spanish origin",Man,United States,"Less than $10,000",Filipino,Business Owner,Democrat,NA,Not very strong,NA,Restructuring the state’s highest court to favor the party in power,24,71,Somewhat important,10,19,25,28,64,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,53.015,0,Uncomfortable,Neither comfortable nor uncomfortable,Somewhat uncomfortable,Very unlikely,Republican,The governor took action in an effort to reshape democratic norms and institutions.,NA,NA,NA,NA,NA,NA,NA,NA,52,33,29,17,019dfa4d-30ed-7ce5-b723-4869bb42991a,019de1ab-afed-72b0-99bf-23a6aa89592d,0.545,0.475,0.565,0.895,OW,OutParty,Policy,Democratic,Republican,Democrat,Republican,Republican,Republican,courts,3
42,"Master's degree (for example: MA, MS, MEng, MEd, MSW, MBA)",Female,Social Sciences,NA,Republican,"No, not of Hispanic, Latino, or Spanish origin",Woman,United States,"$175,000-$199,999",Black or African American,Full-time,Republican,NA,Strong,NA,Prosecuting journalists for unfair news coverage,100,30,Important,30,0,90,50,64,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.592,10.592,13.32,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Uncomfortable,Somewhat uncomfortable,Neither comfortable nor uncomfortable,Unlikely,Not specified,The governor took action in an effort to reshape democratic norms and institutions.,NA,NA,NA,NA,30,20,90,50,NA,NA,NA,NA,019dfa4d-3af8-712e-bc2c-e012cd87955d,019de1ab-afed-72b0-99bf-23a6aa89592d,0.545,0.475,0.565,0.895,OW,Control,Control,Republican,Democratic,Republican,Democrat,NA,NA,media,1
35,"Associate degree (for example: AA, AS)",Male,Manufacturing,Married,Democrat,"Yes, Mexican, Mexican Am., Chicano",Man,United States,"$50,000-$59,999",White,Full-time,Democrat,NA,Not very strong,NA,Restructuring the state’s highest court to favor the party in power,40,60,Very important,70,50,50,20,64,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,62.072,0,Comfortable,Comfortable,Neither comfortable nor uncomfortable,Very unlikely,Republican,The governor took action in an effort to reshape democratic norms and institutions.,NA,NA,NA,NA,NA,NA,NA,NA,55,50,55,88,019dfa4d-5ba1-747b-8957-ebae834d20ed,019de1ab-afed-72b0-99bf-23a6aa89592d,0.545,0.475,0.565,0.895,OW,OutParty,Democracy,Democratic,Republican,Democrat,Republican,Republican,Republican,courts,2
39,"Bachelor's degree (for example: BA, AB, BS)",Female,Arts,Married,Democrat,"Yes, Mexican, Mexican Am., Chicano",Woman,United States,"$125,000-$149,999",White,"Not in paid work (e.g., homemaker, disabled)",Democrat,NA,Strong,NA,Restructuring the state’s highest court to favor the party in power,2,90,Very important,76,30,45,20,64,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.525,23.712,25.854,4,Uncomfortable,Very uncomfortable,Uncomfortable,Likely,Democrat,The governor took action to gain an electoral advantage or to respond to similar actions taken by the other party in the past.,NA,NA,NA,NA,NA,NA,NA,NA,72,34,43,25,019dfa4d-6626-7ddb-bf9e-bed3da92c714,019de1ab-afed-72b0-99bf-23a6aa89592d,0.545,0.475,0.565,0.895,OW,InParty,Democracy,Democratic,Republican,Democrat,Republican,Democratic,Democrat,courts,3
40,High school graduate - high school diploma or the equivalent (for example: GED),Male,Information Technology,Single,Independent,"Yes, Puerto Rican",Man,United States,"$10,000-$19,999",White,Part-time,Other party (please specify),PSL,NA,Neither,Prosecuting journalists for unfair news coverage,5,40,Very important,71,3,21,50,64,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,12.886,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Very comfortable,Very Comfortable,Very comfortable,Very unlikely,Not specified,The governor took action in an effort to reshape democratic norms and institutions.,NA,NA,NA,NA,NA,NA,NA,NA,70,11,28,50,019dfa4d-6b84-7918-820e-ebb2ae626634,019de1ab-afed-72b0-99bf-23a6aa89592d,0.545,0.475,0.565,0.895,OW,Control,Control,Democratic,Republican,Democrat,Republican,NA,NA,media,3
26,"Some college, but no degree",Male,Other,NA,Something else,"No, not of Hispanic, Latino, or Spanish origin",Man,United States,"$10,000-$19,999",Black or African American,"Not in paid work (e.g., homemaker, disabled)",No preference,NA,NA,Neither,Prosecuting journalists for unfair news coverage,50,50,Neither important nor unimportant,50,75,80,81,64,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,143.56,0,NA,NA,NA,NA,NA,NA,NA,NA,Neither comfortable nor uncomfortable,Neither comfortable nor uncomfortable,Neither comfortable nor uncomfortable,Very unlikely,Republican,The governor took action to gain an electoral advantage or to respond to similar actions taken by the other party in the past.,NA,NA,NA,NA,NA,NA,NA,NA,55,48,73,70,019dfa4d-c9cd-7251-82e8-d1b6d50bb159,019de1ab-afed-72b0-99bf-23a6aa89592d,0.545,0.475,0.565,0.895,Mehlhaff,OutParty,Policy,Republican,Democratic,Republican,Democrat,Democratic,Democrat,media,2
