Introduction/Consent,Q-PartyAffiliation,Q-PartyAffiliation_4_TEXT,Q-PolarAffiliation,Q-MiddleAffiliation,Prior_awareness,Prior_participation,Q-DemThreat,Q-FeelingTherm_1,Q-FeelingTherm_2,Q-AffPolarization,Event1_Prob_Pre_1,Event2_Prob_Pre_1,Event3_Prob_Pre_1,Event4_Prob_Pre_1,Attention Check_1,Q-InLawDist,Q-CloseFriendDist,Q-Social Distance 3,Q-ReElection,Q-AttentionCheck,Q-Manipulation Check,Event1_Prob_Post_1...40,Event2_Prob_Post_1...41,Event3_Prob_Post_1...42,Event4_Prob_Post_1...43,Event1_Prob_Post_1...44,Event2_Prob_Post_1...45,Event3_Prob_Post_1...46,Event4_Prob_Post_1...47,Event1_Prob_Post_1...48,Event2_Prob_Post_1...49,Event3_Prob_Post_1...50,Event4_Prob_Post_1...51,ParticipantId,assignmentId,projectId,Market_Price_m_kxusdebtmon-26may01,Market_Price_m_kxpayrolls-26apr,Market_Price_m_controls-2026,Market_Price_m_kxdhsfund,order_first,Treat_Party,Treat_Frame,InParty,OutParty,InPartyNoun,OutPartyNoun,GovParty,GovPartyNoun,frame_topic,Treatment,Age,Education,Sex,Occupation Field,Relationship/Marital Status,Political Party,Ethnicity,Gender,Country Of Residence,Household Income,Race,Employment Status
Do you consent to participate?,"Generally speaking, do you usually think of yourself as a Democrat, a Republican, an independent, or other? - Selected Choice","Generally speaking, do you usually think of yourself as a Democrat, a Republican, an independent, or other? - Other party (please specify) - Text",Would you call yourself a strong [QID1-ChoiceGroup-SelectedChoices] or a not very strong [QID1-ChoiceGroup-SelectedChoices]?,Do you think of yourself as closer to the Republican Party or to the Democratic Party?,"Before today, had you ever heard of prediction markets such as Kalshi or Polymarket?",Have you ever placed money on a political prediction market or similar platform?,State governors often need to make decisions that could hold consequences for democracy in their state. Which of the following political actions would you consider the greatest threat to democratic governance?,"We would like to get your feelings toward some political parties using something we call the ""feeling thermometer."" Ratings between 50 degrees and 100 degrees mean that you feel favorable and warm toward the party. Ratings between 0 and 50 degrees mean that you don't feel favorable toward the party and that you don't care too much for that group. You would rate the group at the 50 degree mark if you don't feel particularly warm or cold toward the group. - People who belong to the Republican Party","We would like to get your feelings toward some political parties using something we call the ""feeling thermometer."" Ratings between 50 degrees and 100 degrees mean that you feel favorable and warm toward the party. Ratings between 0 and 50 degrees mean that you don't feel favorable toward the party and that you don't care too much for that group. You would rate the group at the 50 degree mark if you don't feel particularly warm or cold toward the group. - People who belong to the Democratic Party","How important is it to you that the government in your state follows established democratic rules and norms, even if that means the [Field-InParty] Party loses an election?","Loading event...


What do you think the true probability of this event is? - Probability","Loading event...


What do you think the true probability of this event is? - Probability","Loading event...


What do you think the true probability of this event is? - Probability","Loading event...


What do you think the true probability of this event is? - Probability","Event: The party participating in this survey (you) reads this question in its entirety.

If you are reading this, answer 64 to the following question. What do you think the true probability of this event is? - Probability",How comfortable would you feel if you had a child who married a [Field-OutPartyNoun]?,How comfortable would you feel having a close personal friend who is a [Field-OutPartyNoun]?,How comfortable would you feel having a [Field-OutPartyNoun] move in next door to you?,"If the governor mentioned in the news article you just read ran for re-election, how likely would you be to vote for them?","In the news article you just read, was the state governor a Republican, a Democrat, or not specified?","Among these options, which one do you think most clearly describes why the state governor took the actions described in the news article?","Loading event...


What do you think the true probability of this event is? - Probability","Loading event...


What do you think the true probability of this event is? - Probability","Loading event...


What do you think the true probability of this event is? - Probability","Loading event...


What do you think the true probability of this event is? - Probability","Loading event...


What do you think the true probability of this event is?





   Loading market data... - Probability","Loading event...


What do you think the true probability of this event is?





   Loading market data... - Probability","Loading event...


What do you think the true probability of this event is?





   Loading market data... - Probability","Loading event...


What do you think the true probability of this event is?





   Loading market data... - Probability","Loading event...


What do you think the true probability of this event is?





   Loading market data... - Probability","Loading event...


What do you think the true probability of this event is?





   Loading market data... - Probability","Loading event...


What do you think the true probability of this event is?





   Loading market data... - Probability","Loading event...


What do you think the true probability of this event is?





   Loading market data... - Probability",participantId,assignmentId,projectId,Market_Price_m_kxusdebtmon-26may01,Market_Price_m_kxpayrolls-26apr,Market_Price_m_controls-2026,Market_Price_m_kxdhsfund,order_first,Treat_Party,Treat_Frame,InParty,OutParty,InPartyNoun,OutPartyNoun,GovParty,GovPartyNoun,frame_topic,Treatment,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"{""ImportId"":""QID131""}","{""ImportId"":""QID1""}","{""ImportId"":""QID1_4_TEXT""}","{""ImportId"":""QID4""}","{""ImportId"":""QID7""}","{""ImportId"":""QID1323534523""}","{""ImportId"":""QID1323534524""}","{""ImportId"":""QID13""}","{""ImportId"":""QID8_1""}","{""ImportId"":""QID8_2""}","{""ImportId"":""QID12""}","{""ImportId"":""QID1323534537_1""}","{""ImportId"":""QID1323534538_1""}","{""ImportId"":""QID1323534539_1""}","{""ImportId"":""QID1323534540_1""}","{""ImportId"":""QID1323534541_1""}","{""ImportId"":""QID18""}","{""ImportId"":""QID29""}","{""ImportId"":""QID31""}","{""ImportId"":""QID17""}","{""ImportId"":""QID25""}","{""ImportId"":""QID28""}","{""ImportId"":""QID1323534529_1""}","{""ImportId"":""QID1323534530_1""}","{""ImportId"":""QID1323534531_1""}","{""ImportId"":""QID1323534532_1""}","{""ImportId"":""QID1323534533_1""}","{""ImportId"":""QID1323534534_1""}","{""ImportId"":""QID1323534535_1""}","{""ImportId"":""QID1323534536_1""}","{""ImportId"":""QID133_1""}","{""ImportId"":""QID134_1""}","{""ImportId"":""QID135_1""}","{""ImportId"":""QID136_1""}","{""ImportId"":""participantId""}","{""ImportId"":""assignmentId""}","{""ImportId"":""projectId""}","{""ImportId"":""Market_Price_m_kxusdebtmon-26may01""}","{""ImportId"":""Market_Price_m_kxpayrolls-26apr""}","{""ImportId"":""Market_Price_m_controls-2026""}","{""ImportId"":""Market_Price_m_kxdhsfund""}","{""ImportId"":""order_first""}","{""ImportId"":""Treat_Party""}","{""ImportId"":""Treat_Frame""}","{""ImportId"":""InParty""}","{""ImportId"":""OutParty""}","{""ImportId"":""InPartyNoun""}","{""ImportId"":""OutPartyNoun""}","{""ImportId"":""GovParty""}","{""ImportId"":""GovPartyNoun""}","{""ImportId"":""frame_topic""}","{""ImportId"":""Treatment""}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Yes, I consent to participate.",Republican,NA,Not Very Strong,NA,Yes,No,Directing law enforcement to investigate politicians of the opposing party,29,67,Neither important nor unimportant,50,58,38,73,64,Somewhat comfortable,Somewhat uncomfortable,Somewhat comfortable,Somewhat unlikely,Democrat,The governor took action in an effort to reshape democratic norms and institutions.,NA,NA,NA,NA,67,0,100,100,NA,NA,NA,NA,NA,NA,NA,0.48,0.435,0.505,0.775,NA,InParty,Policy,Republican,Democratic,Republican,Democrat,Republican,Republican,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Yes, I consent to participate.",Independent,NA,NA,Neither,No,No,Manipulating geographic boundaries of election districts,53,50,Somewhat unimportant,50,50,50,50,50,Somewhat uncomfortable,Somewhat uncomfortable,Uncomfortable,Somewhat unlikely,Not specified,The governor took action to pursue a specific policy outcome.,NA,NA,NA,NA,50,50,50,50,NA,NA,NA,NA,NA,NA,NA,0.12,0.455,0.505,0.79,OW,InParty,Policy,Republican,Democratic,Republican,Democrat,Republican,Republican,redistrict,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Yes, I consent to participate.",No preference,NA,NA,Neither,No,No,Manipulating geographic boundaries of election districts,26,59,Neither important nor unimportant,64,70,27,70,64,Somewhat comfortable,Somewhat comfortable,Uncomfortable,Likely,Not specified,The governor took action to gain an electoral advantage or to respond to similar actions taken by the other party in the past.,67,82,27,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.465,0.505,0.995,Mehlhaff,OutParty,Electoral,Democratic,Republican,Democrat,Republican,Republican,Republican,redistrict,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Yes, I consent to participate.",Democrat,NA,Not Very Strong,NA,Yes,No,Directing law enforcement to investigate politicians of the opposing party,4,70,Very important,100,21,40,61,64,Somewhat uncomfortable,Somewhat uncomfortable,Neither comfortable nor uncomfortable,Very unlikely,Not specified,The governor took action to gain an electoral advantage or to respond to similar actions taken by the other party in the past.,NA,NA,NA,NA,100,30,51,100,NA,NA,NA,NA,1532F72DBE7B4CF18F33405B79BF950D,019de997-6606-7d7a-8b2d-e1f430949e02,019de1ab-afed-72b0-99bf-23a6aa89592d,1,0.465,0.505,0.995,OW,Control,Democracy,Democratic,Republican,Democrat,Republican,NA,NA,investigate,2,38,"Some college, but no degree",Male,Medicine,Divorced,Democrat,"No, not of Hispanic, Latino, or Spanish origin",Man,United States,"$50,000-$59,999",Korean,Full-time
"Yes, I consent to participate.",Independent,NA,NA,Closer to Republican Party,Yes,No,Restructuring the state’s highest court to favor the party in power,50,0,Very important,0,0,50,5,64,Neither comfortable nor uncomfortable,Somewhat uncomfortable,Neither comfortable nor uncomfortable,Neither likely nor unlikely,Republican,The governor took action to gain an electoral advantage or to respond to similar actions taken by the other party in the past.,NA,NA,NA,NA,0,0,50,100,NA,NA,NA,NA,8DFA07C880FC4350BCAE8401C5098747,019de997-19f2-7272-aca5-677ec03d47b5,019de1ab-afed-72b0-99bf-23a6aa89592d,1,0.465,0.505,0.995,Mehlhaff,InParty,Policy,Republican,Democratic,Republican,Democrat,Republican,Republican,courts,1,27,"Bachelor's degree (for example: BA, AB, BS)",Male,Other,Single,Independent,"No, not of Hispanic, Latino, or Spanish origin",Man,United States,"$30,000-$39,999",Chinese,Unemployed
"Yes, I consent to participate.",Republican,NA,Not Very Strong,NA,Yes,No,Manipulating geographic boundaries of election districts,53,9,Important,81,41,57,87,64,Comfortable,Very Comfortable,Comfortable,Somewhat likely,Republican,The governor took action in an effort to reshape democratic norms and institutions.,68,44,62,81,NA,NA,NA,NA,NA,NA,NA,NA,16327B86EF4B4F18A2DE18EEFCAB67CA,019de998-45cf-7d58-93ee-d1105afb4543,019de1ab-afed-72b0-99bf-23a6aa89592d,1,0.465,0.505,0.995,OW,InParty,Policy,Republican,Democratic,Republican,Democrat,Republican,Republican,redistrict,0,30,"Bachelor's degree (for example: BA, AB, BS)",Male,I’d Rather Not Say,Single,Democrat,"Yes, Mexican, Mexican Am., Chicano",Man,United States,"$40,000-$49,999",White,Unemployed
"Yes, I consent to participate.",Independent,NA,NA,Closer to Democratic Party,Yes,No,Restructuring the state’s highest court to favor the party in power,10,75,Very important,70,80,60,90,64,Very comfortable,Very Comfortable,Very comfortable,Neither likely nor unlikely,Not specified,The governor took action to pursue a specific policy outcome.,80,80,60,90,NA,NA,NA,NA,NA,NA,NA,NA,46331EBA4F494FAD901E83106523FF12,019de997-08a9-715d-8885-3e5fa79f635d,019de1ab-afed-72b0-99bf-23a6aa89592d,1,0.465,0.505,0.995,OW,Control,Democracy,Democratic,Republican,Democrat,Republican,NA,NA,courts,0,42,"Bachelor's degree (for example: BA, AB, BS)",Female,NA,NA,Independent,"No, not of Hispanic, Latino, or Spanish origin",Woman,United States,"$30,000-$39,999",Chinese,NA
"Yes, I consent to participate.",Democrat,NA,Strong,NA,Yes,No,Prosecuting journalists for unfair news coverage,0,97,Very important,85,12,30,50,64,Very uncomfortable,Somewhat uncomfortable,Neither comfortable nor uncomfortable,Very unlikely,Republican,The governor took action in an effort to reshape democratic norms and institutions.,NA,NA,NA,NA,100,44,40,93,NA,NA,NA,NA,218D74FFB32A4C838A88C6019A69DE91,019de997-c564-7fbf-9848-414355f0d6ee,019de1ab-afed-72b0-99bf-23a6aa89592d,1,0.465,0.505,0.995,Mehlhaff,OutParty,Electoral,Democratic,Republican,Democrat,Republican,Republican,Republican,media,2,74,"Some college, but no degree",Male,Medicine,Divorced,Democrat,"No, not of Hispanic, Latino, or Spanish origin",Man,United States,"$40,000-$49,999",White,Full-time
