variable,category,min_share,max_share,spread_pp,relative_spread_pct,flag_gt_10pp,flag_gt_20pp
Q-Age,18 - 24,0.0,0.19047619047619047,19.047619047619047,184.76190476190476,True,False
Q-Age,25 - 34,0.0,0.4,40.0,277.14285714285717,True,True
Q-Age,35 - 44,0.06666666666666667,0.26666666666666666,20.0,149.23076923076923,True,False
Q-Age,45 - 54,0.0625,0.2,13.750000000000002,95.26785714285715,True,False
Q-Age,55 - 64,0.0,0.5714285714285714,57.14285714285714,395.9183673469388,True,True
Q-Age,65 - 74,0.0,0.19047619047619047,19.047619047619047,263.94557823129253,True,False
Q-Age,75 - 84,0.0,0.1875,18.75,227.34375,True,False
Q-Age,85 or older,0.0,0.3333333333333333,33.33333333333333,190.19607843137257,True,True
Q-Gender,Female,0.0,0.5833333333333334,58.333333333333336,235.76388888888889,True,True
Q-Gender,Male,0.047619047619047616,0.42857142857142855,38.095238095238095,217.36694677871148,True,True
Q-Gender,Non-binary / third gender,0.14285714285714285,0.45454545454545453,31.16883116883117,116.28371628371627,True,True
Q-Gender,Prefer not to say,0.14285714285714285,0.4375,29.464285714285715,95.26785714285714,True,True
Q-Race,American Indian or Alaska Native,0.125,0.42857142857142855,30.357142857142854,147.23214285714286,True,True
Q-Race,Asian,0.06666666666666667,0.375,30.833333333333336,186.92708333333334,True,True
Q-Race,Black or African American,0.0,0.2857142857142857,28.57142857142857,213.1868131868132,True,True
Q-Race,Native Hawaiian or Pacific Islander,0.0,0.25,25.0,186.53846153846155,True,True
Q-Race,Other,0.0,0.3333333333333333,33.33333333333333,215.55555555555554,True,True
Q-Race,White,0.13333333333333333,0.3333333333333333,20.0,97.0,True,False
Q-PartyAffiliation,Democrat,0.09523809523809523,0.25,15.476190476190476,100.07936507936508,True,False
Q-PartyAffiliation,Independent,0.0,0.3333333333333333,33.33333333333333,161.66666666666666,True,True
Q-PartyAffiliation,No Preference,0.0,0.3333333333333333,33.33333333333333,146.96969696969697,True,True
Q-PartyAffiliation,Other Party (Please Specify),0.125,0.5714285714285714,44.64285714285714,154.65561224489795,True,True
Q-PartyAffiliation,Republican,0.0,0.2857142857142857,28.57142857142857,230.95238095238093,True,True
