StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,DistributionChannel,UserLanguage,Q-Age,Q-Gender,Q-Race,Q-PartyAffiliation,Q-PartyAffiliation_4_TEXT,Q-PolarAffiliation,Q-MiddleAffiliation,Q-FeelingThermR_1,Q-FeelingThermD_1,Q-AffPolarization,Q-DemThreat,Q-ReElection,Q-InLawDist,Q-CloseFriendDist,Q-Social Distance 3,Q-AttentionCheck,Q-Manipulation Check,Treat_Party,Treat_Frame,InParty,OutParty,InPartyNoun,OutPartyNoun,GovParty,GovPartyNoun,republican_therm,democratic_therm,baseline_affpol_signed,baseline_affpol_abs,governor_support,baseline_demnorms,inlaw_comfort,inlaw_comfort_reversed,friend_comfort,friend_comfort_reversed,neighbor_comfort,neighbor_comfort_reversed,affpol_index,affpol_latent,party_id_7pt,inparty_feeling,outparty_feeling,baseline_inparty_minus_outparty,treated_any,inparty_treat,frame,selected_action,condition_7,attention_expected,attention_pass,manip_frame_response,frame_pass
4/28/26 8:01,4/28/26 8:01,Survey Test,100,0,TRUE,4/28/26 8:01,test,,75 - 84,Female,Asian,Democrat,,Not Very Strong,,36,63,Important,Manipulating geographic boundaries of election districts,Unlikely,Very uncomfortable,Somewhat uncomfortable,Somewhat uncomfortable,Democrat,The governor took this action to pursue a specific policy outcome.,OutParty,Electoral,Democratic,Republican,Democrat,Republican,Republican,Republican,36,63,-27,27,2,5,1,7,3,5,3,5,5.666666666666667,0.796383033426196,-2,63.0,36.0,27.0,1,0.0,Electoral,Manipulating geographic boundaries of election districts,OutParty-Electoral,Republican,0.0,Policy,0.0
4/28/26 8:01,4/28/26 8:01,Survey Test,100,1,TRUE,4/28/26 8:01,test,,65 - 74,Non-binary / third gender,Asian,Democrat,,Not Very Strong,,68,68,Low importance,Directing law enforcement to investigate politicians of the opposing party,Neither likely nor unlikely,Somewhat uncomfortable,Very uncomfortable,Somewhat uncomfortable,Republican,The governor took this action in an effort to reshape democratic norms and institutions,OutParty,Electoral,Democratic,Republican,Democrat,Republican,Republican,Republican,68,68,0,0,4,2,3,5,1,7,3,5,5.666666666666667,0.2833002502069164,-2,68.0,68.0,0.0,1,0.0,Electoral,Directing law enforcement to investigate politicians of the opposing party,OutParty-Electoral,Republican,1.0,Democracy,0.0
4/28/26 8:01,4/28/26 8:01,Survey Test,100,0,TRUE,4/28/26 8:01,test,,35 - 44,Female,White,Other Party (Please Specify),"Nonummy diam vitae fringilla quam id, viverra etiam? Interdum blandit turpis quis tempora.",,Neither,25,73,Slightly important,Banning political rallies,Somewhat unlikely,Very comfortable,Somewhat uncomfortable,Somewhat comfortable,Republican,The governor took this action in an effort to reshape democratic norms and institutions,InParty,Democracy,Democratic,Republican,Democrat,Republican,Democratic,,25,73,-48,48,3,3,7,1,3,5,5,3,3.0,-0.46861068776178916,0,73.0,25.0,48.0,1,1.0,Democracy,Banning political rallies,InParty-Democracy,Democratic,0.0,Democracy,1.0
4/28/26 8:01,4/28/26 8:01,Survey Test,100,0,TRUE,4/28/26 8:01,test,,85 or older,Prefer not to say,Black or African American,Independent,,,Neither,37,69,Very important,Restructuring the state’s highest court in the incumbent’s favor,Somewhat likely,Very comfortable,Uncomfortable,Somewhat uncomfortable,Democrat,The governor took this action to pursue a specific policy outcome.,OutParty,Electoral,Democratic,Republican,Democrat,Republican,Republican,Republican,37,69,-32,32,5,6,7,1,2,6,3,5,4.0,-1.1024196430037556,0,69.0,37.0,32.0,1,0.0,Electoral,Restructuring the state’s highest court in the incumbent’s favor,OutParty-Electoral,Republican,0.0,Policy,0.0
4/28/26 8:01,4/28/26 8:01,Survey Test,100,0,TRUE,4/28/26 8:01,test,,45 - 54,Prefer not to say,White,Republican,,Strong,,88,9,Extremely important,Directing law enforcement to investigate politicians of the opposing party,Very likely,Somewhat comfortable,Very uncomfortable,Very uncomfortable,Republican,The governor took this action to pursue a specific policy outcome.,Control,Electoral,Republican,Democratic,Republican,Democrat,,,88,9,79,79,7,7,5,3,1,7,1,7,5.666666666666667,-1.0793240843175973,3,88.0,9.0,79.0,0,,Electoral,Directing law enforcement to investigate politicians of the opposing party,Control,Not Specified,0.0,Policy,
4/28/26 8:01,4/28/26 8:01,Survey Test,100,0,TRUE,4/28/26 8:01,test,,18 - 24,Non-binary / third gender,Black or African American,Other Party (Please Specify),Lorem vestibulum facilisi donec ultrices tortor ullamcorper integer. Imperdiet porttitor. Curabitur.,,Closer to Democratic Party,10,98,Not at all important,Directing law enforcement to investigate politicians of the opposing party,Very unlikely,Comfortable,Uncomfortable,Neither comfortable nor uncomfortable,Republican,The governor took this action to pursue a specific policy outcome.,InParty,Electoral,Democratic,Republican,Democrat,Republican,Democratic,,10,98,-88,88,1,1,6,2,2,6,4,4,4.0,-0.4211074757414988,-1,98.0,10.0,88.0,1,1.0,Electoral,Directing law enforcement to investigate politicians of the opposing party,InParty-Electoral,Democratic,0.0,Policy,0.0
4/28/26 8:01,4/28/26 8:01,Survey Test,100,0,TRUE,4/28/26 8:01,test,,85 or older,Female,American Indian or Alaska Native,Other Party (Please Specify),Purus purus eu sit donec vehicula. Tempor. Molestie praesent integer pretium platea posuere.,,Neither,59,32,Extremely important,Directing law enforcement to investigate politicians of the opposing party,Unlikely,Somewhat comfortable,Somewhat comfortable,Somewhat uncomfortable,Republican,The governor took this action to pursue a specific policy outcome.,InParty,Democracy,Republican,Democratic,Republican,Democrat,Republican,,59,32,27,27,2,7,5,3,5,3,3,5,3.6666666666666665,-0.6612477251388988,0,59.0,32.0,27.0,1,1.0,Democracy,Directing law enforcement to investigate politicians of the opposing party,InParty-Democracy,Republican,1.0,Policy,0.0
4/28/26 8:01,4/28/26 8:01,Survey Test,100,0,TRUE,4/28/26 8:01,test,,85 or older,Prefer not to say,Asian,Other Party (Please Specify),"Diam! Non faucibus pede dignissim. Magnis. Justo! Ante, phasellus purus placerat augue enim eros. Faucibus.",,Closer to Republican Party,27,15,Slightly important,Restructuring the state’s highest court in the incumbent’s favor,Unlikely,Very uncomfortable,Somewhat comfortable,Very comfortable,Republican,The governor took this action to gain an electoral advantage or to respond to similar actions taken by the other party in the past,InParty,Electoral,Republican,Democratic,Republican,Democrat,Republican,,27,15,12,12,2,3,1,7,5,3,7,1,3.6666666666666665,2.064000943910129,1,27.0,15.0,12.0,1,1.0,Electoral,Restructuring the state’s highest court in the incumbent’s favor,InParty-Electoral,Republican,1.0,Electoral,1.0
4/28/26 8:01,4/28/26 8:01,Survey Test,100,1,TRUE,4/28/26 8:01,test,,45 - 54,Non-binary / third gender,American Indian or Alaska Native,No Preference,,,Neither,36,45,Slightly important,Manipulating geographic boundaries of election districts,Somewhat unlikely,Somewhat uncomfortable,Somewhat uncomfortable,Uncomfortable,Democrat,The governor took this action to pursue a specific policy outcome.,InParty,Electoral,Republican,Democratic,Republican,Democrat,Republican,,36,45,-9,9,3,3,3,5,3,5,2,6,5.333333333333333,-0.2133813908001234,0,36.0,45.0,-9.0,1,1.0,Electoral,Manipulating geographic boundaries of election districts,InParty-Electoral,Republican,0.0,Policy,0.0
4/28/26 8:01,4/28/26 8:01,Survey Test,100,0,TRUE,4/28/26 8:01,test,,55 - 64,Prefer not to say,White,No Preference,,,Closer to Democratic Party,18,65,Extremely important,Prosecuting journalists for unfair news coverage,Likely,Somewhat comfortable,Neither comfortable nor uncomfortable,Uncomfortable,Not Specified,The governor took this action to gain an electoral advantage or to respond to similar actions taken by the other party in the past,InParty,Policy,Democratic,Republican,Democrat,Republican,Democratic,,18,65,-47,47,6,7,5,3,4,4,2,6,4.333333333333333,-0.9421967700826708,-1,65.0,18.0,47.0,1,1.0,Policy,Prosecuting journalists for unfair news coverage,InParty-Policy,Democratic,0.0,Electoral,0.0
