model,outcome,family,term,label,estimate,std_error,p_value,ci_low,ci_high,nobs,holm_p_value,control_var
sensitivity_inparty_feeling_rq1_any_treatment,Tolerance for future backsliding (re-election support),sensitivity_inparty_feeling_rq1_confirmatory,treated_any,Any treatment vs control,-0.04011079873249079,0.5885338159342611,0.945663227004194,-1.1936158816475682,1.1133942841825863,97.0,,inparty_feeling
sensitivity_inparty_feeling_rq2_inparty_vs_outparty,Tolerance for future backsliding (re-election support),sensitivity_inparty_feeling_rq2_confirmatory,inparty_treat,In-party vs out-party,0.5261884922103395,0.441472139680445,0.23330236896640388,-0.33908100174116884,1.3914579861618477,76.0,,inparty_feeling
sensitivity_inparty_feeling_rq3_frame_effects,Tolerance for future backsliding (re-election support),sensitivity_inparty_feeling_rq3_confirmatory,"C(frame, Treatment(reference=""Policy""))[T.Electoral]",Electoral vs policy,-0.7785321766934912,0.5364262400583721,0.14668763771486507,-1.8299082875701378,0.27284393418315545,76.0,,inparty_feeling
sensitivity_inparty_feeling_rq3_frame_effects,Tolerance for future backsliding (re-election support),sensitivity_inparty_feeling_rq3_confirmatory,"C(frame, Treatment(reference=""Policy""))[T.Democracy]",Democracy vs policy,-0.0868925149291826,0.6181028932340004,0.8882022472312946,-1.2983519244078296,1.1245668945494645,76.0,,inparty_feeling
sensitivity_inparty_feeling_rq4_frame_x_party,Tolerance for future backsliding (re-election support),sensitivity_inparty_feeling_exploratory_rq4,"C(frame, Treatment(reference=""Policy""))[T.Electoral]:inparty_treat",Electoral frame x in-party,-0.4250084865611805,1.1441853352720837,0.7103018412412364,-2.6675705353333514,1.8175535622109902,76.0,,inparty_feeling
sensitivity_inparty_feeling_rq4_frame_x_party,Tolerance for future backsliding (re-election support),sensitivity_inparty_feeling_exploratory_rq4,"C(frame, Treatment(reference=""Policy""))[T.Democracy]:inparty_treat",Democracy frame x in-party,-0.7477204264004719,1.3767201262932223,0.5870490877396903,-3.446042290726622,1.9506014379256782,76.0,,inparty_feeling
sensitivity_inparty_feeling_rq1_any_treatment,Affective polarization (index),sensitivity_inparty_feeling_rq1_confirmatory,treated_any,Any treatment vs control,0.008042301091603421,0.2587031140880011,0.9752001652215958,-0.4990064852092354,0.5150910873924422,97.0,,inparty_feeling
sensitivity_inparty_feeling_rq2_inparty_vs_outparty,Affective polarization (index),sensitivity_inparty_feeling_rq2_confirmatory,inparty_treat,In-party vs out-party,-0.2799098382721217,0.20615829863485502,0.17454547606497406,-0.6839726787104905,0.12415300216624714,76.0,,inparty_feeling
sensitivity_inparty_feeling_rq3_frame_effects,Affective polarization (index),sensitivity_inparty_feeling_rq3_confirmatory,"C(frame, Treatment(reference=""Policy""))[T.Electoral]",Electoral vs policy,-0.2145746513190584,0.2549103656404547,0.39991944647318967,-0.714189787260286,0.2850404846221693,76.0,,inparty_feeling
sensitivity_inparty_feeling_rq3_frame_effects,Affective polarization (index),sensitivity_inparty_feeling_rq3_confirmatory,"C(frame, Treatment(reference=""Policy""))[T.Democracy]",Democracy vs policy,-0.5415130979908989,0.25872447436394763,0.03634819774767968,-1.0486037496632927,-0.034422446318504996,76.0,,inparty_feeling
sensitivity_inparty_feeling_rq4_frame_x_party,Affective polarization (index),sensitivity_inparty_feeling_exploratory_rq4,"C(frame, Treatment(reference=""Policy""))[T.Electoral]:inparty_treat",Electoral frame x in-party,-0.5172344672879863,0.42408374103591145,0.2225969283479161,-1.3484233261473837,0.31395439157141114,76.0,,inparty_feeling
sensitivity_inparty_feeling_rq4_frame_x_party,Affective polarization (index),sensitivity_inparty_feeling_exploratory_rq4,"C(frame, Treatment(reference=""Policy""))[T.Democracy]:inparty_treat",Democracy frame x in-party,-0.4411942978374122,0.5290433481232604,0.404310653713955,-1.4781002064194886,0.5957116107446643,76.0,,inparty_feeling
sensitivity_inparty_feeling_rq1_any_treatment,Affective polarization (latent),secondary_rq1,treated_any,Any treatment vs control,-0.0960723122293004,0.2312878856143012,0.6778639026102509,-0.5493882380937505,0.3572436136351496,97.0,,inparty_feeling
sensitivity_inparty_feeling_rq2_inparty_vs_outparty,Affective polarization (latent),secondary_rq2,inparty_treat,In-party vs out-party,0.1400168539035217,0.25235936139819076,0.5790101064461627,-0.3545984055984598,0.6346321134055032,76.0,,inparty_feeling
sensitivity_inparty_feeling_rq3_frame_effects,Affective polarization (latent),secondary_rq3,"C(frame, Treatment(reference=""Policy""))[T.Electoral]",Electoral vs policy,-0.18662440860310542,0.31459597368629005,0.5530343866586644,-0.8032211867095445,0.4299723695033337,76.0,,inparty_feeling
sensitivity_inparty_feeling_rq3_frame_effects,Affective polarization (latent),secondary_rq3,"C(frame, Treatment(reference=""Policy""))[T.Democracy]",Democracy vs policy,0.1608438916213769,0.35680004592151676,0.6521368711169159,-0.5384713480670333,0.8601591313097872,76.0,,inparty_feeling
sensitivity_inparty_feeling_rq4_frame_x_party,Affective polarization (latent),secondary_rq4,"C(frame, Treatment(reference=""Policy""))[T.Electoral]:inparty_treat",Electoral frame x in-party,0.09056937250529506,0.6453746971177968,0.8883944373846216,-1.1743417903790325,1.3554805353896229,76.0,,inparty_feeling
sensitivity_inparty_feeling_rq4_frame_x_party,Affective polarization (latent),secondary_rq4,"C(frame, Treatment(reference=""Policy""))[T.Democracy]:inparty_treat",Democracy frame x in-party,-0.46221125243637584,0.7156824320814312,0.5183875861299581,-1.8649230436840143,0.9405005388112627,76.0,,inparty_feeling
sensitivity_outparty_feeling_rq1_any_treatment,Tolerance for future backsliding (re-election support),sensitivity_outparty_feeling_rq1_confirmatory,treated_any,Any treatment vs control,-0.09294920485323721,0.577909608264759,0.8722218411512798,-1.225631223371816,1.0397328136653416,97.0,,outparty_feeling
sensitivity_outparty_feeling_rq2_inparty_vs_outparty,Tolerance for future backsliding (re-election support),sensitivity_outparty_feeling_rq2_confirmatory,inparty_treat,In-party vs out-party,0.828039858790149,0.4342219143205741,0.05652694941330593,-0.02301945457621346,1.6790991721565114,76.0,,outparty_feeling
sensitivity_outparty_feeling_rq3_frame_effects,Tolerance for future backsliding (re-election support),sensitivity_outparty_feeling_rq3_confirmatory,"C(frame, Treatment(reference=""Policy""))[T.Electoral]",Electoral vs policy,-0.3872241115598857,0.46753674677788765,0.4075449175330098,-1.3035792966935686,0.5291310735737973,76.0,,outparty_feeling
sensitivity_outparty_feeling_rq3_frame_effects,Tolerance for future backsliding (re-election support),sensitivity_outparty_feeling_rq3_confirmatory,"C(frame, Treatment(reference=""Policy""))[T.Democracy]",Democracy vs policy,0.2563164788079453,0.5429956609336076,0.6368971769171066,-0.8079354603834485,1.320568417999339,76.0,,outparty_feeling
sensitivity_outparty_feeling_rq4_frame_x_party,Tolerance for future backsliding (re-election support),sensitivity_outparty_feeling_exploratory_rq4,"C(frame, Treatment(reference=""Policy""))[T.Electoral]:inparty_treat",Electoral frame x in-party,-0.03259181000699429,1.1046387284716157,0.9764622324482,-2.197643933739481,2.1324603137254923,76.0,,outparty_feeling
