model,outcome,family,term,label,estimate,std_error,p_value,ci_low,ci_high,nobs,holm_p_value,reject_holm_0_05,control_var
rq1_any_treatment,Tolerance for future backsliding (re-election support),rq1_confirmatory,treated_any,Any treatment vs control,-0.06028726218627556,0.5979383646002093,0.9196892127886976,-1.2322249217774655,1.1116503974049143,97.0,1.0,False,baseline_affpol_abs
rq2_inparty_vs_outparty,Tolerance for future backsliding (re-election support),rq2_confirmatory,inparty_treat,In-party vs out-party,0.5112354038125286,0.4644800063519706,0.27104387399372243,-0.39912868017626935,1.4215994878013265,76.0,0.27104387399372243,False,baseline_affpol_abs
rq3_frame_effects,Tolerance for future backsliding (re-election support),rq3_confirmatory,"C(frame, Treatment(reference=""Policy""))[T.Electoral]",Electoral vs policy,-0.5374397369004318,0.5237860763528467,0.3048598879247747,-1.5640415821555582,0.48916210835469465,76.0,0.9145796637743241,False,baseline_affpol_abs
rq3_frame_effects,Tolerance for future backsliding (re-election support),rq3_confirmatory,"C(frame, Treatment(reference=""Policy""))[T.Democracy]",Democracy vs policy,0.0813463997558137,0.6449830574040331,0.899635541317466,-1.1827971633946213,1.3454899629062487,76.0,0.9145796637743241,False,baseline_affpol_abs
rq4_frame_x_party,Tolerance for future backsliding (re-election support),exploratory_rq4,"C(frame, Treatment(reference=""Policy""))[T.Electoral]:inparty_treat",Electoral frame x in-party,-0.45590908165267274,1.1771749662137898,0.6985409059699299,-2.763129618933856,1.8513114556285104,76.0,,,baseline_affpol_abs
rq4_frame_x_party,Tolerance for future backsliding (re-election support),exploratory_rq4,"C(frame, Treatment(reference=""Policy""))[T.Democracy]:inparty_treat",Democracy frame x in-party,-0.8298091468133422,1.4462186804879134,0.5661177174803218,-3.6643456743386924,2.0047273807120076,76.0,,,baseline_affpol_abs
rq1_any_treatment,Affective polarization (index),rq1_confirmatory,treated_any,Any treatment vs control,0.033902263540373734,0.26085345071641436,0.8965927685903344,-0.4773611051067924,0.5451656321875399,97.0,1.0,False,baseline_affpol_abs
rq2_inparty_vs_outparty,Affective polarization (index),rq2_confirmatory,inparty_treat,In-party vs out-party,-0.32837460509840666,0.20935840634913397,0.11676900697146289,-0.738709541403411,0.08196033120659768,76.0,0.23353801394292578,False,baseline_affpol_abs
rq3_frame_effects,Affective polarization (index),rq3_confirmatory,"C(frame, Treatment(reference=""Policy""))[T.Electoral]",Electoral vs policy,-0.23934042803684336,0.2535939569033649,0.3452749815501963,-0.7363754502644412,0.25769459419075447,76.0,0.9145796637743241,False,baseline_affpol_abs
rq3_frame_effects,Affective polarization (index),rq3_confirmatory,"C(frame, Treatment(reference=""Policy""))[T.Democracy]",Democracy vs policy,-0.5604501457318781,0.26791882647440013,0.036450550435942725,-1.0855613964019386,-0.03533889506181753,76.0,0.1458022017437709,False,baseline_affpol_abs
rq4_frame_x_party,Affective polarization (index),exploratory_rq4,"C(frame, Treatment(reference=""Policy""))[T.Electoral]:inparty_treat",Electoral frame x in-party,-0.44504380796006116,0.43747448962647206,0.3090096390289261,-1.302478051782988,0.4123904358628656,76.0,,,baseline_affpol_abs
rq4_frame_x_party,Affective polarization (index),exploratory_rq4,"C(frame, Treatment(reference=""Policy""))[T.Democracy]:inparty_treat",Democracy frame x in-party,-0.3781311146288161,0.5452743897951712,0.4880150104044306,-1.4468492803194062,0.6905870510617741,76.0,,,baseline_affpol_abs
rq1_any_treatment,Affective polarization (latent),secondary_rq1,treated_any,Any treatment vs control,-0.05427516498252699,0.23372763486061351,0.8163706880631645,-0.5123729115010579,0.4038225815360039,97.0,,,baseline_affpol_abs
rq2_inparty_vs_outparty,Affective polarization (latent),secondary_rq2,inparty_treat,In-party vs out-party,0.09976687781955883,0.2567556078835783,0.6975961320590746,-0.40346486646094304,0.6029986221000607,76.0,,,baseline_affpol_abs
rq3_frame_effects,Affective polarization (latent),secondary_rq3,"C(frame, Treatment(reference=""Policy""))[T.Electoral]",Electoral vs policy,-0.21881200421355076,0.30343918499753725,0.4708439200742224,-0.8135418783069104,0.3759178698798089,76.0,,,baseline_affpol_abs
rq3_frame_effects,Affective polarization (latent),secondary_rq3,"C(frame, Treatment(reference=""Policy""))[T.Democracy]",Democracy vs policy,0.1370877484452484,0.33864049362808063,0.685611337738304,-0.5266354227726553,0.8008109196631521,76.0,,,baseline_affpol_abs
rq4_frame_x_party,Affective polarization (latent),secondary_rq4,"C(frame, Treatment(reference=""Policy""))[T.Electoral]:inparty_treat",Electoral frame x in-party,0.15653001506224506,0.6692515825120419,0.8150718123942491,-1.1551789832577932,1.4682390133822834,76.0,,,baseline_affpol_abs
rq4_frame_x_party,Affective polarization (latent),secondary_rq4,"C(frame, Treatment(reference=""Policy""))[T.Democracy]:inparty_treat",Democracy frame x in-party,-0.40153844437654695,0.7016499985514618,0.5671340508997291,-1.7767471712899932,0.9736702825368994,76.0,,,baseline_affpol_abs
